-61,64,-39,-8,48,35,14,6,-40,389260,1,4,bicep curl
-76,62,-49,-8,47,36,-20,-2,58,389572,1,4,bicep curl
-91,18,-56,-11,57,36,-42,-2,98,389884,1,4,bicep curl
-73,-38,-50,-8,71,35,-73,12,102,390196,1,4,bicep curl
-22,-92,-5,-1,78,30,-17,-13,39,390508,1,4,bicep curl
-53,-76,-31,-3,76,32,42,3,-67,390820,1,4,bicep curl
-79,-39,-51,-9,71,35,31,-3,-67,391132,1,4,bicep curl
-87,0,-55,-12,62,36,21,-5,-51,391444,1,4,bicep curl
-84,24,-50,-12,56,36,18,-1,-35,391756,1,4,bicep curl
-75,46,-48,-10,51,35,11,0,-37,392068,1,4,bicep curl
-68,62,-40,-9,47,35,8,9,-30,392380,1,4,bicep curl
-73,72,-45,-8,45,35,-4,-19,3,392692,1,4,bicep curl
-72,42,-49,-10,51,37,-27,-3,101,393004,1,4,bicep curl
-94,-21,-50,-12,64,37,-71,6,102,393316,1,4,bicep curl
-42,-69,-13,-4,77,31,-43,-3,75,393628,1,4,bicep curl
-44,-81,-22,-3,76,31,46,2,-49,393940,1,4,bicep curl
-68,-64,-37,-8,73,34,29,8,-63,394252,1,4,bicep curl
-87,-21,-48,-12,66,36,24,-2,-56,394564,1,4,bicep curl
-89,13,-48,-13,59,35,21,3,-53,394876,1,4,bicep curl
-83,40,-43,-12,52,36,12,-3,-39,395188,1,4,bicep curl
-75,59,-39,-11,48,34,11,3,-34,395500,1,4,bicep curl
-69,75,-33,-9,45,35,-4,-13,1,395812,1,4,bicep curl
-78,44,-44,-11,51,36,-21,-8,97,396124,1,4,bicep curl
-87,-15,-49,-12,64,37,-51,2,97,396436,1,4,bicep curl
-53,-65,-22,-7,75,34,-60,12,80,396748,1,4,bicep curl
-32,-95,-4,0,78,29,7,-10,-7,397060,1,4,bicep curl
-56,-71,-31,-5,76,33,47,9,-62,397372,1,4,bicep curl
-85,-35,-48,-11,70,36,24,2,-60,397684,1,4,bicep curl
-88,1,-45,-13,61,36,19,-5,-56,397996,1,4,bicep curl
-88,32,-47,-12,55,37,15,-1,-37,398308,1,4,bicep curl
-74,52,-43,-11,51,35,8,4,-25,398620,1,4,bicep curl
-67,64,-38,-10,48,36,9,-1,-23,398932,1,4,bicep curl
-69,68,-44,-9,46,34,-1,-15,7,399244,1,4,bicep curl
-88,36,-47,-11,51,36,-23,-10,88,399556,1,4,bicep curl
-84,-8,-55,-13,62,37,-53,10,86,399868,1,4,bicep curl
-64,-68,-38,-7,75,34,-47,1,79,400180,1,4,bicep curl
-26,-86,-5,0,79,28,-19,-5,46,400492,1,4,bicep curl
-20,-90,-6,2,77,29,41,27,-54,400804,1,4,bicep curl
-65,-71,-36,-7,75,32,36,1,-67,401116,1,4,bicep curl
-84,-36,-44,-11,69,35,28,-7,-54,401428,1,4,bicep curl
-88,-2,-50,-12,63,36,20,-3,-49,401740,1,4,bicep curl
-84,25,-49,-12,57,36,16,-6,-35,402052,1,4,bicep curl
-76,48,-45,-11,50,35,11,3,-38,402364,1,4,bicep curl
